year,date,plot,n.mls,avmls,sdmls,n.n,avno3,sdno3,avnh4,sdnh4
1994,1994-06-01,PC,5,10,6,4,0,0,0.051,0.059
1994,1994-06-01,PH,5,8.8,5.7,4,4.004,3.971,0.354,0.554
1994,1994-06-01,PL,5,11.4,4.4,5,0.08,0.081,0.148,0.228
1994,1994-06-01,PNS,5,4.8,6.7,2,0.078,0.111,0.069,0.097
1994,1994-06-28,HC,5,1,2.2,1,0,NA,0,NA
1994,1994-06-28,HH,5,6.8,5.2,4,0,0,0.178,0.293
1994,1994-06-28,HL,5,3.4,4.7,2,0.139,0.197,0.162,0.228
1994,1994-06-28,HNS,5,0,0,0,NA,NA,NA,NA
1994,1994-06-28,PC,5,0,0,0,NA,NA,NA,NA
1994,1994-06-28,PH,5,0,0,0,NA,NA,NA,NA
1994,1994-06-28,PL,5,1,2.2,1,0.24,NA,0.256,NA
1994,1994-06-28,PNS,5,2.6,5.8,1,0,NA,0,NA
1994,1994-07-26,HC,5,9.5,9,3,0,0,0,0
1994,1994-07-26,HH,5,6.6,6.5,3,0.045,0.078,0.081,0.072
1994,1994-07-26,HL,5,12.2,7.6,4,0,0,0,0
1994,1994-07-26,HNS,5,9,8.2,3,0,0,0,0
1994,1994-07-26,PC,5,8.2,7.6,3,0,0,0,0
1994,1994-07-26,PH,5,13.4,7.3,5,9.797,8.719,0.051,0.07
1994,1994-07-26,PL,5,11.8,8,4,0,0,0.025,0.05
1994,1994-07-26,PNS,5,6.6,9.1,2,0,0,0,0
1994,1994-08-22,HC,5,17.4,10,4,0.056,0.111,0.085,0.169
1994,1994-08-22,HH,5,12.8,11.7,3,0.082,0.074,0.064,0.111
1994,1994-08-22,HL,5,18.4,2.7,5,0,0,0,0
1994,1994-08-22,HNS,5,18.2,0.8,5,0.077,0.171,0.051,0.115
1994,1994-08-22,PC,5,19.6,3.4,5,0,0,0,0
1994,1994-08-22,PH,5,21.4,5.3,5,7.744,5.669,0.512,0.326
1994,1994-08-22,PL,5,22.2,1.6,5,1.219,1.145,0.393,0.443
1994,1994-08-22,PNS,5,17.2,6.7,5,2.407,4.717,0.241,0.538
1994,1994-09-19,HC,5,3.6,5,2,0,0,0.125,0.176
1994,1994-09-19,HH,5,6.2,6.3,3,1.087,1.152,0.476,0.527
1994,1994-09-19,HL,5,9,1.9,5,0,0,0.081,0.114
1994,1994-09-19,HNS,5,1.6,3.6,1,0,NA,0.327,NA
1994,1994-09-19,PC,5,4,4.5,3,0,0,0.09,0.078
1994,1994-09-19,PH,5,9.6,8.1,4,12.628,11.712,0.313,0.264
1994,1994-09-19,PL,4,7.8,6,3,1.023,0.703,0.182,0.1
1994,1994-09-19,PNS,5,4.2,5.8,2,5.495,7.771,0.166,0.234
1994,1994-10-20,HC,5,11.8,7.1,4,0,0,0.042,0.084
1994,1994-10-20,HH,5,12.8,2.9,5,0.598,1.203,0.029,0.064
1994,1994-10-20,HL,5,8.8,6.1,4,0,0,0.026,0.052
1994,1994-10-20,HNS,5,9.8,2.2,5,0,0,0.093,0.151
1994,1994-10-20,PC,5,4.6,5.1,3,0,0,0.075,0.131
1994,1994-10-20,PH,5,7.6,6.5,4,11.806,10.493,0.042,0.084
1994,1994-10-20,PL,5,3,4.1,2,0,0,0,0
1994,1994-10-20,PNS,5,2.2,4.4,2,3.875,4.802,0.724,0.756
1994,1994-11-15,HC,5,11.4,6.8,4,0,0,0,0
1994,1994-11-15,HH,5,14.2,8.2,4,0.896,1.791,0,0
1994,1994-11-15,HL,5,9.8,6.3,4,0,0,0,0
1994,1994-11-15,HNS,5,11,3.5,5,0,0,0,0
1994,1994-11-15,PC,5,2.2,4.9,1,0,NA,0,NA
1994,1994-11-15,PH,5,4.2,5.4,3,12.136,11.136,0.064,0.111
1994,1994-11-15,PL,5,1.6,2.3,2,0,0,0.193,0.126
1994,1994-11-15,PNS,5,1,2.2,1,3.232,NA,0.25,NA
1995,1995-05-03,HC,4,15.5,1.3,4,0,0,0,0
1995,1995-05-03,HH,5,17,3.5,5,0.541,0.99,0.094,0.132
1995,1995-05-03,HL,5,13.8,2.2,5,0,0,0.04,0.09
1995,1995-05-03,HNS,5,7.8,6.1,4,0.142,0.285,0.21,0.294
1995,1995-05-03,PC,5,9.4,6.9,4,0,0,0.157,0.314
1995,1995-05-03,PH,5,12.6,7.2,4,5.142,3.96,0,0
1995,1995-05-03,PL,5,13.6,3.4,5,0.337,0.754,0,0
1995,1995-05-03,PNS,5,9.8,5.7,4,0.252,0.503,0,0
1995,1995-05-31,HC,4,11.8,7.9,3,0,0,0.262,0.454
1995,1995-05-31,HH,5,17.8,2.6,5,0.352,0.649,0.054,0.121
1995,1995-05-31,HL,5,14.8,3.2,5,0,0,0,0
1995,1995-05-31,HNS,5,14.2,2.2,5,0,0,0,0
1995,1995-05-31,PC,5,11.4,3.8,5,0,0,0.052,0.115
1995,1995-05-31,PH,5,11,7.7,4,7.87,5.188,1.368,2.736
1995,1995-05-31,PL,5,10.8,8.2,4,0.154,0.308,0.078,0.156
1995,1995-05-31,PNS,5,6.4,4.5,4,0.135,0.17,0.271,0.184
1995,1995-10-17,HC,4,18.8,1.3,4,0,0,0.053,0.105
1995,1995-10-17,HH,5,16.6,3,5,3.534,2.391,0.24,0.536
1995,1995-10-17,HL,5,16,1.9,5,5.011,11.091,0.62,1.387
1995,1995-10-17,HNS,5,2.4,1.7,4,0.187,0.136,0.417,0.141
1995,1995-10-17,PC,5,12,7.6,4,0,0,0,0
1995,1995-10-17,PH,5,13,7.7,4,12.765,5.533,1.621,3.067
1995,1995-10-17,PL,5,16.8,4.4,5,1.141,1.629,0.051,0.114
1995,1995-10-17,PNS,5,9.6,9,3,0.245,0.269,0.111,0.192
1995,1995-11-22,HC,4,19,0.8,4,0,0,0,0
1995,1995-11-22,HH,5,19.8,1.6,5,5.186,2.727,0.485,0.443
1995,1995-11-22,HL,5,19.8,1.9,5,0.04,0.089,0,0
1995,1995-11-22,HNS,5,9.4,6.3,4,0,0,0.167,0.334
1995,1995-11-22,PC,5,17.6,2.3,5,0,0,0,0
1995,1995-11-22,PH,5,16.4,9.2,4,24.798,12.636,0.102,0.203
1995,1995-11-22,PL,5,19.2,1.6,5,1.06,2.369,0,0
1995,1995-11-22,PNS,5,9.8,9,3,0,0,0,0
1996,1996-05-07,HC,4,16,3.3,4,0,0,0.05,0.1
1996,1996-05-07,HH,5,15.6,7.1,5,0.429,0.291,0,0
1996,1996-05-07,HL,5,18.8,2.5,5,0,0,0,0
1996,1996-05-07,HNS,5,11.8,4.1,5,0,0,0.044,0.097
1996,1996-05-07,PC,5,11.4,6.8,4,0,0,0,0
1996,1996-05-07,PH,5,13.2,7.7,4,3.158,3.653,0,0
1996,1996-05-07,PL,5,13.4,7.6,4,0.556,1.113,0,0
1996,1996-05-07,PNS,5,13,7.6,4,0.438,0.875,0,0
1996,1996-06-04,HC,4,15,2.7,4,0,0,0,0
1996,1996-06-04,HH,5,17,6,5,1.267,0.683,0.468,0.502
1996,1996-06-04,HL,5,16.6,1.5,5,0.152,0.209,0.176,0.173
1996,1996-06-04,HNS,5,7.8,5.6,4,0,0,0.291,0.275
1996,1996-06-04,PC,5,9.8,6.6,4,0,0,0,0
1996,1996-06-04,PH,5,15.4,2.5,5,3.827,4.327,0,0
1996,1996-06-04,PL,5,9.4,7.5,4,0.172,0.224,0.073,0.147
1996,1996-06-04,PNS,5,9.8,6,4,0.141,0.282,0,0
1996,1996-07-02,HC,4,7.8,4.9,4,0,0,0.066,0.131
1996,1996-07-02,HH,5,15,3.9,5,1.577,0.785,0,0
1996,1996-07-02,HL,5,11,1,5,0,0,0,0
1996,1996-07-02,HNS,5,5.6,3.8,4,0.323,0.407,0.317,0.321
1996,1996-07-02,PC,5,9.8,4.2,5,0,0,0.038,0.085
1996,1996-07-02,PH,5,10.2,9.3,3,3.185,3.993,0,0
1996,1996-07-02,PL,5,11.6,7,4,1.068,2.135,0,0
1996,1996-07-02,PNS,5,8.8,5.1,4,0.155,0.31,0.124,0.144
1996,1996-07-30,HC,4,15.5,1,4,0,0,0,0
1996,1996-07-30,HH,5,19.8,2.2,5,9.435,2.286,0.087,0.195
1996,1996-07-30,HL,5,18.2,0.4,5,0,0,0,0
1996,1996-07-30,HNS,5,13.2,3.6,5,1.243,2.562,0.601,1.241
1996,1996-07-30,PC,5,10.4,7.4,5,0,0,0,0
1996,1996-07-30,PH,5,16.8,8.1,5,18.412,7.048,0.038,0.086
1996,1996-07-30,PL,5,14.2,8.7,4,2.558,3.085,0,0
1996,1996-07-30,PNS,5,16.6,1.1,5,4.325,6.784,0,0
1996,1996-08-27,HC,4,0,0,0,NA,NA,NA,NA
1996,1996-08-27,HH,5,6.6,6.8,3,7.787,3.832,0.094,0.162
1996,1996-08-27,HL,5,0,0,0,NA,NA,NA,NA
1996,1996-08-27,HNS,5,0,0,0,NA,NA,NA,NA
1996,1996-08-27,PC,5,2.2,4.9,1,0,0,0,0
1996,1996-08-27,PH,5,6.6,6.1,3,23.294,5.278,0,0
1996,1996-08-27,PL,5,2.8,3.8,2,4.151,1.915,0.223,0.021
1996,1996-08-27,PNS,5,3.8,5.5,2,6.6,9.334,0.209,0.033
1996,1996-09-24,HC,4,17,0.8,4,0,0,0.048,0.095
1996,1996-09-24,HH,5,16,3,5,10.628,4.116,0.083,0.114
1996,1996-09-24,HL,5,12.2,6.9,4,0,0,0,0
1996,1996-09-24,HNS,5,16.8,1.1,5,0,0,0,0
1996,1996-09-24,PC,5,12.8,7.3,4,0,0,0.047,0.095
1996,1996-09-24,PH,5,15.4,0.5,5,24.54,8.692,0.115,0.258
1996,1996-09-24,PL,5,18.4,3,5,0.47,1.051,0,0
1996,1996-09-24,PNS,5,14.8,0.8,5,3.097,4.283,0.474,1.06
1996,1996-10-25,HC,4,18.8,2.2,4,0,0,0,0
1996,1996-10-25,HH,5,21.6,1.1,5,22.539,14.741,0,0
1996,1996-10-25,HL,5,20.2,0.8,5,0,0,0,0
1996,1996-10-25,HNS,5,12.2,7.7,4,0,0,0,0
1996,1996-10-25,PC,5,18.4,1.7,5,0,0,0,0
1996,1996-10-25,PH,5,20,1,5,23.33,6.119,0,0
1996,1996-10-25,PL,5,20.2,1.8,5,0.164,0.228,0,0
1996,1996-10-25,PNS,5,16.4,1.7,5,4.104,6.095,0,0
1996,1996-11-15,HC,4,17.5,0.6,4,0,0,0,0
1996,1996-11-15,HH,5,21.2,1.3,5,11.506,3.765,0,0
1996,1996-11-15,HL,5,16.4,9.2,4,0,0,0,0
1996,1996-11-15,HNS,5,11,7,4,0,0,0,0
1996,1996-11-15,PC,4,18.3,0.5,4,0,0,0,0
1996,1996-11-15,PH,5,18.6,3.8,5,20.833,7.017,0,0
1996,1996-11-15,PL,5,14.6,8.3,4,0,0,0,0
1996,1996-11-15,PNS,5,15.8,3.5,5,3.401,5.461,0,0
1997,1997-05-06,HC,4,15.8,0.5,4,0,0,0,0
1997,1997-05-06,HH,5,14.8,9.2,4,0.562,0.498,0,0
1997,1997-05-06,HL,5,12,11,3,0,0,0,0
1997,1997-05-06,HNS,5,11.8,4.4,5,0,0,0.063,0.142
1997,1997-05-06,PC,5,11.4,6.5,4,0,0,0,0
1997,1997-05-06,PH,5,12.4,7,4,7.35,6.086,0,0
1997,1997-05-06,PL,5,12.8,7.5,4,0.072,0.144,0,0
1997,1997-05-06,PNS,5,14.4,2.7,5,0.649,0.902,0,0
1997,1997-06-03,HC,4,11.8,4.3,4,0,0,0,0
1997,1997-06-03,HH,5,7,4.6,4,1.318,0.966,0.21,0.421
1997,1997-06-03,HL,5,7.8,7.2,3,0,0,0.066,0.114
1997,1997-06-03,HNS,5,4.8,4.8,3,0.068,0.118,0.204,0.178
1997,1997-06-03,PC,5,4.4,3.6,4,0.145,0.167,0.344,0.093
1997,1997-06-03,PH,5,3.6,4.9,2,3.192,1.925,0,0
1997,1997-06-03,PL,5,4.2,6.6,2,0,0,0,0
1997,1997-06-03,PNS,5,5.4,5.9,3,0.556,0.964,0.169,0.293
1997,1997-09-24,HC,4,1.8,2.4,2,0.092,0.131,0.132,0.186
1997,1997-09-24,HH,5,0,0,0,NA,NA,NA,NA
1997,1997-09-24,HL,5,0,0,0,NA,NA,NA,NA
1997,1997-09-24,HNS,5,2.8,3.8,2,0,0,0.102,0.145
1997,1997-09-24,PC,5,0,0,0,NA,NA,NA,NA
1997,1997-09-24,PH,5,10.4,7.5,4,13.031,8.459,1.172,1.956
1997,1997-09-24,PL,5,4.4,5.6,3,0.945,1.387,0.282,0.315
1997,1997-09-24,PNS,5,2.2,4.9,1,5.856,NA,0.296,NA
1997,1997-10-29,HC,4,1,2,1,0,NA,1.09,NA
1997,1997-10-29,HH,5,7.8,7.4,3,0.203,0.351,0.068,0.119
1997,1997-10-29,HL,5,4.8,5.2,3,0.148,0.13,0.353,0.314
1997,1997-10-29,HNS,5,0,0,0,NA,NA,NA,NA
1997,1997-10-29,PC,5,1,2.2,1,0,NA,0.613,NA
1997,1997-10-29,PH,5,4.6,4.6,2,6.182,2.34,0.542,0.485
1997,1997-10-29,PL,5,4.4,4.3,3,0.34,0.588,1.035,0.616
1997,1997-10-29,PNS,5,2.6,5.8,1,0,NA,0.516,NA
1997,1997-11-04,HC,4,15.5,4.5,4,0,0,0,0
1997,1997-11-04,HH,4,19.8,4.6,4,2.257,2.006,0,0
1997,1997-11-04,HL,5,7,9.7,2,0,0,0.326,0.461
1997,1997-11-04,HNS,5,11,10.1,4,0,0,0,0
1997,1997-11-04,PC,5,0,0,0,NA,NA,NA,NA
1997,1997-11-04,PH,5,11.4,12.8,3,19.523,11.635,0.196,0.34
1997,1997-11-04,PL,5,8.2,11.3,2,0.147,0.208,0,0
1997,1997-11-04,PNS,5,6.6,9.4,2,7.011,9.915,0.099,0.14
1998,1998-05-06,HC,4,15,1.4,4,0,0,0,0
1998,1998-05-06,HH,5,18,1,5,2.028,0.806,0,0
1998,1998-05-06,HL,5,16.8,2.2,5,0.048,0.106,0.053,0.119
1998,1998-05-06,HNS,5,13,7.6,4,0,0,0,0
1998,1998-05-06,PC,5,6.8,5.9,3,0,0,0.163,0.108
1998,1998-05-06,PH,5,8.4,7.8,3,6.962,5.183,0.425,0.668
1998,1998-05-06,PL,5,13.4,4,5,0.117,0.262,0.045,0.102
1998,1998-05-06,PNS,5,6.2,4.5,4,0.7,1.214,0.234,0.278
1998,1998-06-03,HC,4,15.5,1,4,0,0,0,0
1998,1998-06-03,HH,5,14.4,8.3,4,1.949,1.575,0,0
1998,1998-06-03,HL,5,14,1.6,5,0,0,0.047,0.105
1998,1998-06-03,HNS,5,12.6,7.1,4,0,0,0,0
1998,1998-06-03,PC,5,12,4.7,5,0,0,0,0
1998,1998-06-03,PH,5,13.2,2.3,5,5.492,1.081,0,0
1998,1998-06-03,PL,5,10.2,7.3,4,0,0,0,0
1998,1998-06-03,PNS,5,14.4,1.8,5,0.183,0.409,0,0
1998,1998-07-01,HC,4,5.1,4.1,3,0,0,0,0
1998,1998-07-01,HH,5,9.3,6.2,4,3.321,2.922,0,0
1998,1998-07-01,HL,5,4.1,6.2,2,0,0,0,0
1998,1998-07-01,HNS,4,3.3,3.9,3,0,0,0.123,0.213
1998,1998-07-01,PC,5,9.2,2.8,5,0,0,0.066,0.148
1998,1998-07-01,PH,5,12.3,3.6,5,6.491,3.687,0.25,0.29
1998,1998-07-01,PL,5,6.9,4.3,4,0.54,0.663,0.337,0.518
1998,1998-07-01,PNS,5,6.1,3.7,4,0.255,0.363,0,0
1998,1998-07-29,HC,4,0,0,0,NA,NA,NA,NA
1998,1998-07-29,HH,5,0.3,0.4,2,3.654,4.41,3.211,0.558
1998,1998-07-29,HL,5,0,0,0,NA,NA,NA,NA
1998,1998-07-29,HNS,4,0,0,0,NA,NA,NA,NA
1998,1998-07-29,PC,5,0,0,0,NA,NA,NA,NA
1998,1998-07-29,PH,5,3.5,4.6,3,7.84,5.416,2.162,1.332
1998,1998-07-29,PL,5,0.2,0.3,2,1.591,1.439,1.031,0.201
1998,1998-07-29,PNS,4,0,0,0,NA,NA,NA,NA
1998,1998-10-14,HC,4,3.5,4.4,2,0,0,0,0
1998,1998-10-14,HH,5,2.6,3.7,2,4.562,1.158,0.265,0.005
1998,1998-10-14,HL,5,0,0,0,NA,NA,NA,NA
1998,1998-10-14,HNS,5,4.8,3.4,4,0,0,0.194,0.228
1998,1998-10-14,PC,5,0,0,0,NA,NA,NA,NA
1998,1998-10-14,PH,5,3.4,6.5,3,13.003,11.701,4.329,5.595
1998,1998-10-14,PL,5,5,7.1,2,1.326,1.875,0.633,0.895
1998,1998-10-14,PNS,5,4.8,3.5,4,0.505,0.59,0.376,0.36
1998,1998-11-18,HC,4,3.3,3.8,2,0,0,0,0
1998,1998-11-18,HH,5,8.4,3.8,5,8.079,5.728,0,0
1998,1998-11-18,HL,5,1,1.4,2,1.542,1.686,0.719,0.025
1998,1998-11-18,HNS,5,9.6,1.7,5,0,0,0,0
1998,1998-11-18,PC,5,0,0,0,NA,NA,NA,NA
1998,1998-11-18,PH,5,7.6,7.8,4,22.894,13.242,0.367,0.395
1998,1998-11-18,PL,5,4,3.8,3,1.827,3.164,0.133,0.116
1998,1998-11-18,PNS,5,5.2,5.7,3,4.736,7.968,0.115,0.199
1999,1999-05-04,HC,4,15.8,0.5,4,0,0,0,0
1999,1999-05-04,HH,5,16.6,2.79,5,3.594,0.726,0.289,0.422
1999,1999-05-04,HL,4,13.3,8.92,3,0,0,0,0
1999,1999-05-04,HNS,5,15.6,3.44,5,0,0,0,0
1999,1999-05-04,PC,5,3.4,4.98,2,0,0,0.1,0.142
1999,1999-05-04,PH,5,12.2,7.69,4,12.488,13.902,0.051,0.101
1999,1999-05-04,PL,5,10.6,7.83,4,0.099,0.198,0.055,0.109
1999,1999-05-04,PNS,5,6.8,7.01,3,1.18,2.044,0.062,0.108
1999,1999-06-02,HC,4,15.3,1.89,4,0,0,0.285,0.57
1999,1999-06-02,HH,5,12.8,4.32,5,3.154,1.227,0.053,0.12
1999,1999-06-02,HL,5,10.8,7.12,4,0,0,0.045,0.091
1999,1999-06-02,HNS,5,8.2,4.71,4,0,0,0,0
1999,1999-06-02,PC,5,0,0,0,NA,NA,NA,NA
1999,1999-06-02,PH,5,9.8,7.4,4,12.399,10.156,0.109,0.129
1999,1999-06-02,PL,5,6,6.75,3,0,0,0,0
1999,1999-06-02,PNS,5,4.2,4.92,2,0.184,0.26,0.218,0.044
1999,1999-09-21,HC,4,16,1.83,4,0,0,0,0
1999,1999-09-21,HH,5,17.2,3.7,5,12.477,5.664,0.045,0.1
1999,1999-09-21,HL,5,15.2,2.59,5,0,0,0,0
1999,1999-09-21,HNS,5,17.2,1.3,5,0,0,0.336,0.75
1999,1999-09-21,PC,5,17.2,2.17,5,0,0,0,0
1999,1999-09-21,PH,5,15,7.14,4,17.525,4.903,0.045,0.091
1999,1999-09-21,PL,5,14.4,8.41,4,0.553,0.479,0,0
1999,1999-09-21,PNS,5,13.6,7.7,4,4.447,5.313,0,0
1999,1999-10-21,HC,4,22.5,0.58,4,0,0,0,0
1999,1999-10-21,HH,5,23.2,2.05,5,8.978,4.429,0.051,0.115
1999,1999-10-21,HL,5,22.2,1.79,5,0,0,0.038,0.085
1999,1999-10-21,HNS,5,21.2,2.49,5,0,0,0.083,0.115
1999,1999-10-21,PC,5,16.4,2.88,5,0,0,0,0
1999,1999-10-21,PH,5,19.2,3.68,5,26.804,7.539,0,0
1999,1999-10-21,PL,5,21.3,1.2,5,0.345,0.634,0.06,0.134
1999,1999-10-21,PNS,5,12.2,10.71,3,2.82,4.884,0,0
1999,1999-11-16,HC,5,17.4,9.91,4,0,0,0,0
1999,1999-11-16,HH,5,22.4,5.03,5,12.776,3.875,0.051,0.113
1999,1999-11-16,HL,5,23.8,2.49,5,0,0,0,0
1999,1999-11-16,HNS,5,23.6,1.67,5,0,0,0,0
1999,1999-11-16,PC,5,11.2,12.85,4,0,0,0.07,0.14
1999,1999-11-16,PH,5,23.2,1.48,5,26.288,10.38,0,0
1999,1999-11-16,PL,5,17.2,9.78,5,0,0,0.075,0.15
1999,1999-11-16,PNS,5,13.2,12.19,3,3.189,3.995,0,0
2000,2000-05-02,HC,4,16.3,3.9,4,0,0,0,0
2000,2000-05-02,HH,5,19.4,11.1,4,1.9,0.64,0,0
2000,2000-05-02,HL,5,22.1,1.5,5,0,0,0,0
2000,2000-05-02,HNS,5,15.7,9.6,4,0,0,0,0
2000,2000-05-02,PC,5,18,3.7,5,0,0,0,0
2000,2000-05-02,PH,5,17.2,9.5,4,15.33,6.21,0,0
2000,2000-05-02,PL,5,20.8,2.9,5,1.23,2.36,0,0
2000,2000-05-02,PNS,5,14.8,11.2,4,0.62,1.24,0,0
2000,2000-05-31,HC,4,15.9,6.6,4,0,0,0,0
2000,2000-05-31,HH,5,13.9,8.3,4,1.75,1.01,0,0
2000,2000-05-31,HL,5,14.3,8.5,4,0,0,0,0
2000,2000-05-31,HNS,5,16.2,3.8,5,0,0,0,0
2000,2000-05-31,PC,5,18.4,4.1,5,0,0,0,0
2000,2000-05-31,PH,5,10.2,7.8,4,13.83,4.16,0.05,0.1
2000,2000-05-31,PL,5,19.3,2.3,5,0.82,1.23,0,0
2000,2000-05-31,PNS,5,13.2,7.9,4,0.2,0.4,0,0
2000,2000-06-27,HC,4,16,4,4,0,0,0,0
2000,2000-06-27,HH,5,14.8,9.2,4,3.19,1.46,0,0
2000,2000-06-27,HL,5,13.1,4.3,5,0,0,0,0
2000,2000-06-27,HNS,5,12.2,7.3,4,0,0,0.06,0.12
2000,2000-06-27,PC,5,15.3,5.9,5,0,0,0,0
2000,2000-06-27,PH,5,17.4,6.7,5,10.87,2.59,0.04,0.1
2000,2000-06-27,PL,5,19.4,4.8,5,1.05,2.34,0,0
2000,2000-06-27,PNS,5,18.6,5.5,5,0.36,0.49,0,0
2000,2000-07-28,HC,4,9.5,10,2,0,0,0,0
2000,2000-07-28,HH,5,12.6,7.6,4,4.88,2.83,1.05,1.34
2000,2000-07-28,HL,5,14.6,3,5,0,0,0,0
2000,2000-07-28,HNS,5,12.2,11.4,3,0,0,0,0
2000,2000-07-28,PC,5,14,8.3,4,0,0,0,0
2000,2000-07-28,PH,5,16.5,8,4,12.38,3.1,0.12,0.23
2000,2000-07-28,PL,5,17.8,2.9,5,1.58,3.27,0,0
2000,2000-07-28,PNS,5,17.1,4.2,5,1.23,2.29,0,0
2000,2000-08-21,HC,4,16.8,6.6,4,0,0,0,0
2000,2000-08-21,HH,5,19.6,11.5,4,11.36,4.37,0.14,0.28
2000,2000-08-21,HL,5,7.6,8.9,2,0.13,0.19,0,0
2000,2000-08-21,HNS,5,12,9.7,4,0,0,0,0
2000,2000-08-21,PC,5,10,9.1,5,0.05,0.11,0.09,0.12
2000,2000-08-21,PH,5,13,12.8,3,18.85,0.72,0,0
2000,2000-08-21,PL,5,14.6,10.8,5,3.19,4.27,0,0
2000,2000-08-21,PNS,5,7.8,8.5,3,0.52,0.48,0.16,0.27
2000,2000-09-18,HC,4,18.5,1.7,4,0,0,0,0
2000,2000-09-18,HH,5,14.2,8.6,4,15.07,5.43,0.05,0.11
2000,2000-09-18,HL,5,13,3.4,5,0.16,0.15,0,0
2000,2000-09-18,HNS,5,12,7.2,4,0,0,0,0
2000,2000-09-18,PC,5,12.8,8.1,4,0,0,0,0
2000,2000-09-18,PH,5,19.2,4.3,5,20.6,5.1,0,0
2000,2000-09-18,PL,5,18.6,3,5,2.89,5.14,0,0
2000,2000-09-18,PNS,5,12.6,7.2,4,4.11,7.33,0.05,0.1
2000,2000-10-17,HC,4,15.5,10.7,3,0,0,0,0
2000,2000-10-17,HH,5,16,9.9,4,17.57,6.98,0,0
2000,2000-10-17,HL,5,17,4.4,5,0,0,0,0
2000,2000-10-17,HNS,5,17.8,4.6,5,0,0,0,0
2000,2000-10-17,PC,5,15,7.1,4,0,0,0,0
2000,2000-10-17,PH,5,14,8.7,5,22.71,8.14,0.04,0.09
2000,2000-10-17,PL,5,12.2,11.2,3,0,0,0,0
2000,2000-10-17,PNS,5,12.9,7.4,4,5.29,9.6,0,0
2000,2000-11-14,HC,4,19.5,9.7,3,0,0,0,0
2000,2000-11-14,HH,5,18,10.7,4,13.47,4.91,0,0
2000,2000-11-14,HL,5,22.4,2.9,5,0,0,0,0
2000,2000-11-14,HNS,5,21.8,2.8,5,0,0,0,0
2000,2000-11-14,PC,5,18.2,7.3,5,0,0,0,0
2000,2000-11-14,PH,5,24.4,1.1,5,27.05,8.97,0,0
2000,2000-11-14,PL,5,19.4,9.3,5,3.1,6.27,0.05,0.11
2000,2000-11-14,PNS,5,22.6,1.9,5,5.41,10.95,0,0
2001,2001-05-03,HC,4,13.3,1.7,4,0,0,0.115,0.134
2001,2001-05-03,HH,4,19.5,2.6,4,1.134,0.699,0.469,0.178
2001,2001-05-03,HL,5,20,5.2,4,0.054,0.108,0.245,0.17
2001,2001-05-03,HNS,5,14.6,9,4,0,0,0,0
2001,2001-05-03,PC,5,15.8,3.9,5,0,0,0.087,0.119
2001,2001-05-03,PH,5,8.8,8,3,15.785,4.856,0.218,0.027
2001,2001-05-03,PL,5,11.4,6.5,4,2.236,2.307,0.055,0.11
2001,2001-05-03,PNS,5,15.4,2.5,5,0.942,1.238,0.095,0.132
2001,2001-05-30,HC,4,19.5,13.1,3,0,0,0,0
2001,2001-05-30,HH,4,13.5,10.5,3,0.929,0.806,0.354,0.171
2001,2001-05-30,HL,5,22,4.6,5,0,0,0.087,0.119
2001,2001-05-30,HNS,5,12.4,9,4,0.336,0.252,0.39,0.321
2001,2001-05-30,PC,5,12.8,11.7,3,0,0,0,0
2001,2001-05-30,PH,5,16.2,10.4,4,9.354,2.875,0,0
2001,2001-05-30,PL,5,6.6,10,2,5.377,6.957,0.131,0.185
2001,2001-05-30,PNS,5,8.2,11.3,2,0.752,1.063,0.1,0.141
2001,2001-06-27,HC,4,14,3.6,4,0,0,0.077,0.155
2001,2001-06-27,HH,4,14.3,2.8,4,1.052,2.103,0,0
2001,2001-06-27,HL,5,12.4,1.9,5,0,0,0.089,0.122
2001,2001-06-27,HNS,5,6,5.9,3,0,0,0.089,0.153
2001,2001-06-27,PC,5,10.8,5.7,4,0,0,0.05,0.1
2001,2001-06-27,PH,5,6.8,9.3,2,4.784,1.99,0.101,0.143
2001,2001-06-27,PL,5,11.8,7.2,4,2.168,3.204,0,0
2001,2001-06-27,PNS,5,10,5.6,4,0.088,0.176,0.555,0.782
2002,2002-05-01,HC,4,17.5,1.3,4,0,0,0.054,0.108
2002,2002-05-01,HH,4,18.5,2.5,4,5.514,2.72,0.212,0.155
2002,2002-05-01,HL,5,15.8,8.9,4,0.057,0.115,0.273,0.214
2002,2002-05-01,HNS,5,19.4,1.5,5,0,0,0,0
2002,2002-05-01,PC,5,18.8,4.6,5,0,0,0.092,0.129
2002,2002-05-01,PH,5,17,9.6,4,21.285,12.636,0.193,0.135
2002,2002-05-01,PL,5,13.8,10,4,1.307,1.654,0.528,0.787
2002,2002-05-01,PNS,5,16.2,6.4,5,5.505,7.546,0.24,0.073
2002,2002-05-29,HC,4,16.5,2.4,4,0,0,0.262,0.068
2002,2002-05-29,HH,4,15.8,10.8,3,7.563,0.692,0.605,0.133
2002,2002-05-29,HL,5,18.6,1.8,5,0,0,0.223,0.15
2002,2002-05-29,HNS,5,14,2.5,5,0.037,0.083,0.581,0.675
2002,2002-05-29,PC,5,13.6,5.7,4,0,0,0.355,0.164
2002,2002-05-29,PH,5,8.8,8.2,3,9.307,3.091,0.58,0.222
2002,2002-05-29,PL,5,13,2.4,5,3.89,6.956,0.513,0.251
