genus,species,subclass,family,alien,main.habitat,detailed.habitat,life.form,ldetailed.life.form,sum.2007,status,listed.for.hf,verified,reason.not.listed,current,historical,synonyms,common.name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,grout,simes
Botrychium,dissectum,Pteridophyte,Ophioglossaceae,0,O F,OP F,F,F,1,U,1,1,NA,1,1,NA,Dissected Grapefern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Botrychium,lanceolatum,Pteridophyte,Ophioglossaceae,0,F,FR,F,F,1,U,1,1,NA,1,1,NA,Triangle Grape Fern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium,oneidense,Pteridophyte,Ophioglossaceae,0,O F,OP F,F,F,0,M,1,0,NA,0,1,B. obliquum var. oneidense,Blunt-lobed Grapefern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium,simplex,Pteridophyte,Ophioglossaceae,0,O F,OP F,F,F,0,M,1,1,NA,0,1,NA,Least Grapefern; Dwarf Grapefern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium,virginianum,Pteridophyte,Ophioglossaceae,0,F,FR,F,F,1,U,1,1,NA,1,1,NA,Rattlesnake Fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Botrychium,multifidum,Pteridophyte,Ophioglossceae,0,F,F,F,FE,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyelytrum,septentrionale,Commelinidae,Poaceae,0,F,F,G,GL,29,C,1,1,NA,1,1,B. erectum,Hairy Woods Grass,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Brasenia,schreberi,Magnoliidae,Cabombaceae,0,W,WP,A,AF,4,LC,1,1,NA,1,1,NA,Water Shield,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Brassica,sp.,Dilleniidae,Brassicaceae,1,O,OD OC,H,HA,0,M,1,0,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus,ciliatus,Commelinidae,Poaceae,0,W,WO WF,G,GL,2,U,1,1,NA,1,1,NA,Fringed Brome,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulbostylis,capillaris,Commelinidae,Cyperaceae,0,O,RP,G,GA,3,U,1,1,NA,1,0,NA,SAND SEDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Calamagrostis,canadensis,Commelinidae,Poaceae,0,W,WO WS WP,G,GL,9,O,1,1,NA,1,1,NA,Common Bluejoint Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
Calla,palustris,Alismatidae,Araceae,0,W,WB,H,HL,7,O,1,1,NA,1,1,NA,Wild Calla,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Callitriche,heterophylla,Asteridae,Callitrichaceae,0,W,WP,A,AF,2,U,1,1,NA,1,1,NA,Common Water-starwort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Callitriche,verna,Asteridae,Callitrichaceae,0,W,WP,A,AS,0,M,1,1,NA,0,1,C. palustris,Marsh Starwort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calopogon,tuberosus,Liliidae,Orchidaceae,0,W,WB,H,HL,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caltha,palustris,Magnoliidae,Ranunculaceae,0,W,WP,H,HS,9,O,1,1,NA,1,1,NA,Marsh Marigold,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Calystegia,sepium,Asteridae,Convolvulaceae,0,O,OD,H,HA,1,U,1,1,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula,aparinoides,Asteridae,Campanulaceae,0,W,WS,H,HL,1,U,1,1,NA,1,0,NA,Marsh Bellwort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula,rapanunculoides,Asteridae,Campanulaceae,1,NA,NA,H,NA,1,U,0,1,NDN,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capsella,bursa-pastoris,Dilleniidae,Brassicaceae,1,O,OD OG,H,HA,1,U,1,1,NA,1,1,NA,Shepherd's Purse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardamine,pensylvanica,Dilleniidae,Brassicaceae,0,W,WS,H,HS,6,O,1,1,NA,1,1,NA,Pensylvania Bittercress,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Carex,abscondita,Commelinidae,Cyperaceae,0,F,FR,G,GS,0,M,1,1,NA,0,1,C. ptychocarpa,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,albicans var. emmonsii,Commelinidae,Cyperaceae,0,F,FO,G,GS,4,U,1,1,NA,1,1,NA,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,annectens,Commelinidae,Cyperaceae,0,O,OP,G,GL,2,U,1,1,NA,1,1,C. vulpinoidea var. ambigua,Yellow-fruited Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Carex,appalachica,Commelinidae,Cyperaceae,0,F,F,G,GS,6,O,1,1,NA,1,1,NA,Appalachian Sedge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Carex,arctata,Commelinidae,Cyperaceae,0,F,FR,G,GE,17,F,1,1,NA,1,1,NA,Arching Sedge,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1
Carex,argyrantha,Commelinidae,Cyperaceae,0,O,RW,G,GL,4,U,1,1,NA,1,0,NA,Silver-flowered Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Carex,atlantica var. capillacea,Commelinidae,Cyperaceae,0,W,WF,G,GL,2,U,1,1,NA,1,1,C. howei,Howe's Sedge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carex,blanda,Commelinidae,Cyperaceae,0,F,FR,G,GE,4,U,1,1,NA,1,1,NA,Sexy Woods Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Carex,brevior,Commelinidae,Cyperaceae,0,O,OD,G,GL,1,U,1,1,NA,1,1,NA,Short-headed Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carex,bromoides,Commelinidae,Cyperaceae,0,W,WS WF,G,GL,3,U,1,1,NA,1,0,NA,Brome-like Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carex,brunnescens,Commelinidae,Cyperaceae,0,W,WF,G,GL,14,F,1,1,NA,1,1,NA,Brownish Sedge,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1
Carex,canescens,Commelinidae,Cyperaceae,0,W,WP,G,GL,8,O,1,1,NA,1,1,NA,Sedge,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
Carex,cephalophora,Commelinidae,Cyperaceae,0,O,OD,G,GL,1,U,1,1,NA,1,1,NA,Head-bearing Sedge,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,communis,Commelinidae,Cyperaceae,0,F,F,G,GE,20,F,1,1,NA,1,1,NA,Common Woodland Sedge,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
Carex,comosa,Commelinidae,Cyperaceae,0,W,WP,G,GL,2,U,1,1,NA,1,1,NA,Bristly Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,crinita,Commelinidae,Cyperaceae,0,W,WP,G,GL,4,U,1,1,NA,1,1,NA,Long-hair Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Carex,cryptolepis,Commelinidae,Cyperaceae,0,W,WP,G,GS,0,M,1,1,NA,0,1,NA,Hidden-scale Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,debilis,Commelinidae,Cyperaceae,0,F,F,G,GE,27,C,1,1,NA,1,1,NA,Feeble Woodland Sedge,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Carex,deweyana,Commelinidae,Cyperaceae,0,F,FR,G,GS,4,U,1,1,NA,1,1,NA,Dewey's Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Carex,digitalis,Commelinidae,Cyperaceae,0,F,F,G,GE,14,F,1,1,NA,1,1,NA,Finger-like Sedge,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1
Carex,disperma,Commelinidae,Cyperaceae,0,W,WF,G,GS,1,U,1,1,NA,1,1,NA,Two-fruited Sedge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,echinata,Commelinidae,Cyperaceae,0,W,WP,G,GS,8,O,1,1,NA,1,1,NA,Little Prickly Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0
Carex,folliculata,Commelinidae,Cyperaceae,0,W,WP WF,G,GL,17,F,1,1,NA,1,1,NA,Folliculate Sedge,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
Carex,gracillima,Commelinidae,Cyperaceae,0,F,F,G,GE,11,F,1,1,NA,1,1,NA,Graceful Sedge,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
Carex,granularis,Commelinidae,Cyperaceae,0,O,OP,G,GS,0,M,1,1,NA,0,1,NA,Granular Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,gynandra,Commelinidae,Cyperaceae,0,W,WS WP WO,G,GL,20,F,1,1,NA,1,1,NA,Gynandrous Sedge,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1
Carex,intumescens,Commelinidae,Cyperaceae,0,W,WF,G,GE,19,F,1,1,NA,1,1,NA,Bladder Sedge,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1
Carex,lacustris,Commelinidae,Cyperaceae,0,W,WO,G,GL,1,U,1,1,NA,1,1,NA,Lakeshore Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carex,lasiocarpa,Commelinidae,Cyperaceae,0,W,WB,G,GL,2,U,1,1,NA,1,1,NA,Sedge,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carex,laxiculmis,Commelinidae,Cyperaceae,0,F,FR,G,GE,3,U,1,1,NA,1,0,NA,Weak-stemmed Sedge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Carex,laxiflora,Commelinidae,Cyperaceae,0,F,FR,G,GE,7,O,1,1,NA,1,1,NA,Loosely-flowered Sedge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Carex,leptalea,Commelinidae,Cyperaceae,0,W,WF WP,G,GS,4,U,1,1,NA,1,1,NA,Delicate-stemmed Sedge,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Carex,leptonervia,Commelinidae,Cyperaceae,0,F,F,G,GE,11,F,1,1,NA,1,1,NA,Few-nerved Sedge,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Carex,lucorum,Commelinidae,Cyperaceae,0,F,F,G,GE,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,lupulina,Commelinidae,Cyperaceae,0,W,WF,G,GL,2,U,1,1,NA,1,1,NA,Common Hop Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Carex,lurida,Commelinidae,Cyperaceae,0,W,WO RW,G,GL,18,F,1,1,NA,1,1,NA,Garish Sedge,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1
Carex,meritt-fernaldii,Commelinidae,Cyperaceae,0,O,OD,G,GL,0,M,1,1,NA,0,1,NA,Fernald's Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,muhlenbergii,Commelinidae,Cyperaceae,0,O,OD,G,GL,1,U,1,1,NA,0,1,NA,Muhlenberg's Sedge,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,normalis,Commelinidae,Cyperaceae,0,O,OP RW,G,GL,15,F,1,1,NA,1,1,NA,Right-angle Sedge,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1
Carex,novae-angliae,Commelinidae,Cyperaceae,0,F,F,G,GE,4,U,1,1,NA,1,0,NA,New England Sedge,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,ormostachya,Commelinidae,Cyperaceae,0,F,F,G,GS,1,U,1,1,NA,1,0,NA, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,pallescens,Commelinidae,Cyperaceae,0,O,OP,G,GL,3,U,1,1,NA,1,1,NA,Pale Sedge,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,pedunculata,Commelinidae,Cyperaceae,0,F,FR,G,GE,4,U,1,1,NA,1,0,NA,Peduncled Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Carex,pensylvanica,Commelinidae,Cyperaceae,0,F,F,G,GE,28,C,1,1,NA,1,1,NA,Pennsylvania Sedge,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Carex,plantaginea,Commelinidae,Cyperaceae,0,F,FR,G,GE,1,U,1,1,NA,1,0,NA,Plantain-leaved Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carex,platyphylla,Commelinidae,Cyperaceae,0,F,FR,G,GE,1,U,1,1,NA,1,1,NA,Broad-leaved Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,prasina,Commelinidae,Cyperaceae,0,F W,FR WS,G,GS,1,U,1,1,NA,1,0,NA,Leek-colored Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carex,projecta,Commelinidae,Cyperaceae,0,O W,RW WS,G,GL,5,U,1,1,NA,1,1,NA,Seminar Sedge,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Carex,radiata,Commelinidae,Cyperaceae,0,F,F,G,GL,13,F,1,1,NA,1,1,NA,Spreading-fruited Sedge,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Carex,rosea,Commelinidae,Cyperaceae,0,F,FR,G,GL,3,U,1,1,NA,1,1,NA,Roseate Sedge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Carex,scabrata,Commelinidae,Cyperaceae,0,W,WS,G,GL,3,U,1,1,NA,1,1,NA,Rough-stemed Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Carex,scoparia,Commelinidae,Cyperaceae,0,W O,WO RW OP,G,GL,15,F,1,1,NA,1,1,NA,Sedge,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0
Carex,stipata,Commelinidae,Cyperaceae,0,W,WO,G,GL,6,O,1,1,NA,1,1,NA,Stipitate Sedge,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Carex,stricta,Commelinidae,Cyperaceae,0,W,WO WB,G,GS,6,O,1,1,NA,1,0,NA,Common Tussock Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Carex,swanii,Commelinidae,Cyperaceae,0,F,F,G,GL,24,C,1,1,NA,1,1,NA,Swan's Sedge,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
Carex,tenera,Commelinidae,Cyperaceae,0,O,RW,G,GL,7,O,1,1,NA,1,1,NA,Slender Sedge (II),0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Carex,torta,Commelinidae,Cyperaceae,0,W,WS,G,GS,5,U,1,1,NA,1,0,NA,Twisted Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Carex,tribuloides,Commelinidae,Cyperaceae,0,O,RW,G,GL,1,U,1,1,NA,1,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,trisperma,Commelinidae,Cyperaceae,0,W,WF WB,G,GS,12,F,1,1,NA,1,1,NA,Billings Three-seeded Sedge,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
Carex,tuckermanii,Commelinidae,Cyperaceae,0,W,WP,G,GS,1,U,1,1,NA,1,1,NA,Tuckerman's Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carex,umbellata,Commelinidae,Cyperaceae,0,O,OB,G,GE,3,U,1,1,NA,1,1,NA,Umbellate Sedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Carex,utriculata,Commelinidae,Cyperaceae,0,W,WO WB,G,GL,5,U,1,1,NA,1,1,NA,Bladder Sedge (II),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
Carex,vesicaria,Commelinidae,Cyperaceae,0,WW,WO,G,GL,2,U,1,1,NA,1,1,NA,Bladder Sedge (III),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Carex,vestita,Commelinidae,Cyperaceae,0,F,FO,G,GS,0,M,1,1,NA,0,1,NA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,virescens,Commelinidae,Cyperaceae,0,O,RW,G,GL,7,O,1,1,NA,1,1,NA,Greenish Sedge,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Carex,vulpinoidea,Commelinidae,Cyperaceae,0,W,WO,G,GL,2,U,1,1,NA,1,1,NA,Foxtail Sedge (II),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpinus,caroliniana,Hamameliidae,Betulaceae,0,W,WS,T,T,4,U,1,1,NA,1,1,NA,Musclewood,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Carum,carvi,Rosidae,Apiaceae,1,O,OD,H,HA,0,M,1,1,NA,0,1,NA,Caraway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carya,cordiformis,Hamameliidae,Juglandaceae,0,F,FR,T,T,1,U,0,0,NC,0,0,NA,Bitternut Hickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carya,glabra,Hamameliidae,Juglandaceae,0,F,F,T,T,4,U,1,1,NA,1,1,NA,Pignut Hickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Carya,ovata,Hamameliidae,Juglandaceae,0,F,F,T,T,10,O,1,1,NA,1,1,NA,Shagbark Hickory,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Castanea,dentata,Hamameliidae,Fagaceae,0,F,F,T,T,28,C,1,1,NA,1,1,NA,Chstnut,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Castanea,mollissima,Hamameliidae,Fagaceae,1,F,F,T,T,1,U,0,1,NDN,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulophyllum,thalictroides,Magnoliidae,Berberidaceae,0,F,FR,H,HS,1,U,1,1,NA,1,1,NA,Blue Cohoosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Celastrus,orbiculatus,Rosidae,Celastraceae,1,O,OE,V,V,13,F,1,1,NA,1,0,NA,Oriental Bittersweet,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
Celastrus,scandens,Rosidae,Celastraceae,0,O,OE,V,V,0,M,1,1,NA,0,1,NA,Common Bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centaurea,biebersteinii,Asteridae,Asteraceae,1,O,OD,H,HL,1,U,1,1,NA,1,0,NA,Spotted Knapweed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cephalanthus,occidentalis,Asteridae,Rubiaceae,0,W,WP,S,S,6,O,1,1,NA,1,1,NA,Buttonbush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
Cerastium,fontanum,Caryophyllidae,Caryophyllaceae,1,O,OG,H,HA,5,U,1,1,NA,1,1,C. vulgatum,Common Mouse-eared Chickweed,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Chamaedaphne,calyculata,Dilleniidae,Ericaceae,0,W,WB,S,SE,9,O,1,1,NA,1,1,NA,Leatherleaf,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
Chamaesyce,maculata,Rosidae,Euphorbiaceae,0,O,OD RP,H,HA,1,U,1,1,NA,1,1,Euphorbia m.,Common Spurge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelidonium,majus,Magnoliidae,Papaveraceae,1,O,OG OD,H,HL,5,U,1,1,NA,1,1,NA,Celandine poppy,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelone,glabra,Asteridae,Scrophulariaceae,0,W,WS,H,HL,12,F,1,1,NA,1,1,NA,Turtlehead,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
